,Subject,FPR,FNR
0,s002,0.05635,0.12749999999999995
1,s003,0.03735,0.0024999999999999467
2,s004,0.0349,0.0
3,s005,0.0141,0.012499999999999956
4,s007,0.0518,0.0024999999999999467
5,s008,0.04045,0.0024999999999999467
6,s010,0.01145,0.0
7,s011,0.0519,0.0
8,s012,0.04645,0.0
9,s013,0.04025,0.0
10,s015,0.0321,0.010000000000000009
11,s016,0.01195,0.13249999999999995
12,s017,0.01505,0.0
13,s018,0.04545,0.0050000000000000044
14,s019,0.0053,0.0050000000000000044
15,s020,0.06305,0.010000000000000009
16,s021,0.02655,0.015000000000000013
17,s022,0.0025,0.0
18,s024,0.0583,0.0024999999999999467
19,s025,0.01125,0.0
20,s026,0.0509,0.0
21,s027,0.0226,0.012499999999999956
22,s028,0.00645,0.0
23,s029,0.0488,0.0
24,s030,0.01405,0.0050000000000000044
25,s031,0.0889,0.010000000000000009
26,s032,0.14815,0.03249999999999997
27,s033,0.0088,0.0024999999999999467
28,s034,0.0322,0.010000000000000009
29,s035,0.03765,0.0050000000000000044
30,s036,0.00535,0.0
31,s037,0.04995,0.01749999999999996
32,s038,0.01155,0.0
33,s039,0.01965,0.0
34,s040,0.02425,0.007499999999999951
35,s041,0.059,0.0
36,s042,0.0287,0.0
37,s043,0.00525,0.0024999999999999467
38,s044,0.01435,0.0024999999999999467
39,s046,0.04625,0.0
40,s047,0.0208,0.030000000000000027
41,s048,0.0459,0.0024999999999999467
42,s049,0.0383,0.0
43,s050,0.05365,0.0050000000000000044
44,s051,0.0596,0.0050000000000000044
45,s052,0.00205,0.0024999999999999467
46,s053,0.00745,0.0
47,s054,0.06575,0.01749999999999996
48,s055,0.0139,0.0
49,s056,0.02925,0.0
50,s057,0.03805,0.0
